round_epochs,val_loss,val_acc,loss,acc,first_neuron,normalize,nr_hidden_layers,hidden_layers,optimizer,batch_size,epochs
50,0.9781154171344539,0.5424039049169894,0.9895250459079027,0.5304272013741571,15,True,2,15,rmsprop,64,50
200,0.9783928829503055,0.5407768981786965,0.9868893303035546,0.5319965122467347,20,False,2,20,adam,512,200
50,0.9817372782942675,0.5393532644400443,0.990774766049805,0.529991281614578,20,False,1,20,rmsprop,64,50
100,0.9688439806326633,0.5422005290322752,0.9809181245909427,0.5329555361865392,10,True,2,20,adam,64,100
200,0.9847695604800111,0.5409802726208739,0.9936733493518081,0.5317349607672188,15,False,1,20,sgd,64,200
200,0.9670535544324071,0.5426072809592917,0.9769754820111116,0.5325196164009772,15,True,0,20,rmsprop,64,200
100,0.9848182352306349,0.5389465123554398,0.9935367404739027,0.5318221451826686,20,False,2,20,rmsprop,256,100
100,1.0270815996079272,0.5424039035108192,1.0349093334094899,0.5308631216845724,10,True,2,15,adam,512,100
50,1.0352187977832146,0.5411836485055881,1.04565660053476,0.5316477772663651,20,True,2,10,rmsprop,256,50
100,1.0934453436774114,0.5271507017443232,1.0993651579646515,0.5213600699030636,20,False,1,15,sgd,256,100
100,1.1453090379314257,0.5287777102403289,1.1516538348318497,0.5213600699654224,20,False,2,15,sgd,256,100
200,1.0252436359941608,0.5245068132671273,1.0305999760224493,0.5182214474511749,10,False,0,10,sgd,512,200
50,1.0069765899150818,0.5389465121978517,1.0149965039002136,0.5310374894034062,10,False,1,20,adam,256,50
200,0.989702948678769,0.5417937783902075,0.9969988528395489,0.5316477765700249,10,True,2,10,adam,512,200
200,1.048345640856293,0.5395566403247585,1.055040737121336,0.530950304946384,20,False,1,10,sgd,256,200
50,0.9956434620621972,0.5401667684516651,1.002563895863248,0.5299912820614829,10,False,0,10,rmsprop,256,50
100,1.0378638054021665,0.5283709579981365,1.043890504932653,0.5234524849610632,15,False,0,20,sgd,256,100
200,0.9800276926966588,0.5407768966997933,0.9880941088550903,0.5314734093500618,10,False,0,20,rmsprop,512,200
100,1.013594704307578,0.5413870240387597,1.022103363239152,0.532083696620612,10,True,2,10,adam,512,100
100,0.9758408497765172,0.540980272778462,0.9850590262396396,0.5316477768142637,20,False,2,15,adam,64,100
50,1.0140117195798344,0.5407768967361598,1.0227459695927454,0.5309503047697006,10,True,1,15,rmsprop,256,50
50,1.0130091136079362,0.5308114706633511,1.0201553291721561,0.5246730601881106,10,False,0,20,sgd,64,50
200,0.9741157893124018,0.543827537213105,0.9851921150761266,0.531211857049488,20,True,1,10,sgd,64,200
50,1.0437495444687446,0.5415904008690021,1.0545520624702873,0.5314734084770383,15,True,2,10,rmsprop,512,50
100,0.9735238760352158,0.5403701444939673,0.9822814523913909,0.5323452484638876,10,False,1,10,rmsprop,64,100
50,0.9777910149458683,0.5405735205362695,0.9880221083357528,0.5301656495204883,20,True,2,15,adam,64,50
50,1.0682660516306761,0.5234899329828833,1.0736198925826481,0.5207497821232497,20,False,0,10,sgd,256,50
50,1.0250176105505087,0.5383363856710698,1.0326094258839709,0.5298169134696256,15,False,1,10,adam,512,50
100,0.9953476664422124,0.5407768965785718,1.0062077275960468,0.5319965126728533,20,True,0,20,sgd,64,100
200,0.9760355680774861,0.5399633920820647,0.9846377733071784,0.5314734093500618,10,False,2,15,rmsprop,256,200
100,1.1031385022788507,0.5267439482535485,1.109144285937029,0.519442022886085,20,False,1,10,sgd,512,100
200,0.975819567633228,0.5413870248630664,0.9850343984838351,0.5319093286887188,10,False,1,10,rmsprop,64,200
200,0.9771757826636375,0.5428106586017186,0.9852669944426445,0.5323452483183837,15,True,0,15,rmsprop,512,200
50,1.0194640580488217,0.5369127517748296,1.0263447189497346,0.5290322580645161,15,False,0,15,sgd,64,50
100,0.9782839174408338,0.5405735205362695,0.9860293481593144,0.5313862249553983,20,False,0,20,rmsprop,256,100
200,1.048970119968187,0.5316249762750966,1.0544100045326386,0.5247602441358691,20,False,0,10,sgd,512,200
50,1.0949709546597528,0.5186089080403631,1.1012529246372664,0.5103748908017964,15,False,1,10,sgd,512,50
50,1.2032431351937292,0.5285743340404387,1.2100259203441057,0.5221447256511466,20,False,2,20,sgd,256,50
100,0.9752104705078757,0.540980272778462,0.9832238689961388,0.5322580645213256,10,False,0,20,adam,64,100
50,1.0507068320311785,0.540980272463286,1.063122889220247,0.5299912816041848,15,True,1,20,sgd,64,50
50,1.0105776078021693,0.5389465123190733,1.0183805103809187,0.5299912815833986,15,False,0,15,rmsprop,512,50
50,0.9988540911276893,0.5395566403247585,1.0064292776761308,0.5309503050035461,20,False,0,15,rmsprop,256,50
50,1.0368492935206655,0.5405735199180395,1.0447988275039062,0.5312118570390949,15,False,1,15,rmsprop,512,50
100,0.9698699458551668,0.5415904009053686,0.9803652376534113,0.5317349607568257,10,True,1,20,rmsprop,64,100
50,1.0653558413818014,0.5360992477632087,1.0722415097609954,0.5278116826815717,20,False,1,15,sgd,64,50
100,0.9879708646127842,0.5405735206938576,0.9971921682357788,0.5318221451618823,20,True,2,10,rmsprop,256,100
200,0.9748617471270574,0.5413870247054784,0.9840920802293494,0.5326068003539324,10,False,2,20,adam,64,200
100,1.1015921308908467,0.5426072811168797,1.1107371919552138,0.5310374893410474,20,True,1,20,sgd,256,100
200,0.9778490128593763,0.5401667684516651,0.9864907920932188,0.5313862249761846,20,False,2,10,rmsprop,256,200
